accession	strain	product
180	MH615980.1	Rf131481_Shanxi	spike protein
181	MH615981.1	Rf131468_Shanxi	spike protein
182	MH615982.1	Rs151161_Hunan	spike protein
183	MH615983.1	Rs151388_Guizhou	spike protein
184	MH615984.1	Rs151493_Guizhou	spike protein
185	MH615985.1	Rs151503_Guizhou	spike protein
186	MH615986.1	Rs151200_Hunan	spike protein
187	MH615987.1	Rs151262_Guizhou	spike protein
188	MH615988.1	Rs151334_Guizhou	spike protein
189	MH615989.1	Rs151491_Guizhou	spike protein
190	MH615990.1	Rs151514_Guizhou	spike protein
191	MH615991.1	Rs161419_Guangdong	spike protein
192	MH615992.1	Rs161465_Guangdong	spike protein
193	MH615993.1	Unknown	Unknown
194	MH615994.1	Unknown	Unknown
195	MH615995.1	Unknown	Unknown
196	MH615996.1	Unknown	Unknown
197	MH615997.1	Unknown	Unknown
198	MH615998.1	Unknown	Unknown
199	MH615999.1	Unknown	ribosomal protein L32
200	MH616000.1	Unknown	ribosomal protein L32
